B,G,R,Target
147,141,130,Biru
162,165,155,Biru
160,163,153,Biru
161,164,154,Biru
161,163,152,Biru
159,161,149,Biru
160,162,150,Biru
158,160,148,Biru
168,167,156,Biru
167,166,155,Biru
166,165,154,Biru
166,165,153,Biru
163,163,151,Biru
163,163,150,Biru
162,162,149,Biru
162,165,155,Biru
161,164,154,Biru
160,163,153,Biru
165,164,153,Biru
165,162,152,Biru
164,161,160,Biru
170,168,155,Biru
169,166,154,Biru
170,166,154,Biru
170,165,153,Biru
169,164,154,Biru
168,163,153,Biru
167,162,152,Biru
138,146,124,Hijau
140,147,125,Hijau
137,145,123,Hijau
139,146,123,Hijau
134,142,110,Hijau
135,143,119,Hijau
136,144,120,Hijau
136,145,120,Hijau
136,144,121,Hijau
134,141,119,Hijau
134,141,120,Hijau
135,142,120,Hijau
135,141,118,Hijau
136,142,118,Hijau
133,141,116,Hijau
131,140,114,Hijau
133,142,115,Hijau
134,143,116,Hijau
137,146,121,Hijau
138,146,124,Hijau
140,147,126,Hijau
138,145,125,Hijau
149,156,132,Hijau
150,157,133,Hijau
53,152,175,Kuning
54,154,176,Kuning
51,146,169,Kuning
50,145,168,Kuning
52,147,170,Kuning
49,145,168,Kuning
48,144,167,Kuning
49,144,167,Kuning
49,143,167,Kuning
45,140,163,Kuning
47,141,164,Kuning
46,140,163,Kuning
44,139,162,Kuning
53,159,169,Kuning
55,160,170,Kuning
54,160,170,Kuning
52,159,169,Kuning
52,158,168,Kuning
50,153,171,Kuning
51,154,172,Kuning
52,156,173,Kuning
49,152,169,Kuning
47,153,168,Kuning
48,155,169,Kuning
49,154,169,Kuning
50,154,169,Kuning
52,156,173,Kuning
45,149,165,Kuning
26,110,132,Kuning
26,110,133,Kuning
25,110,133,Kuning
24,110,133,Kuning
25,110,132,Kuning
25,109,131,Kuning
26,111,134,Kuning
26,113,135,Kuning
26,112,134,Kuning
24,112,134,Kuning
23,111,132,Kuning
24,111,131,Kuning
26,112,132,Kuning
28,111,134,Kuning
25,109,130,Kuning
28,112,132,Kuning
27,111,134,Kuning
28,112,135,Kuning
30,111,132,Kuning
30,113,133,Kuning
97,67,166,Merah
96,66,164,Merah
95,66,162,Merah
92,64,159,Merah
85,57,152,Merah
81,52,147,Merah
83,54,150,Merah
85,55,152,Merah
88,57,155,Merah
90,59,157,Merah
77,46,137,Merah
79,48,140,Merah
81,51,144,Merah
81,53,146,Merah
81,54,147,Merah
83,56,150,Merah
85,57,152,Merah
87,54,148,Merah
86,53,148,Merah
84,51,147,Merah
82,50,147,Merah
99,69,169,Merah
96,65,166,Merah
94,63,163,Merah
91,60,159,Merah
77,44,141,Merah
77,44,142,Merah
91,60,159,Merah
86,57,155,Merah
88,58,157,Merah
92,62,162,Merah
79,51,142,Merah
